county_name,site_number,local_site_name,latitude,longitude,date_local,pm25_value
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-03-23,2.916667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-03-24,3.504167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-03-25,3.604167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-03-26,6.6875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-03-27,7.916667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-03-28,28.325
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-03-29,18.775
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-03-30,7.091667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-03-31,5.675
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-01,2.841667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-02,3.883333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-03,3.695652
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-04,4.458333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-05,5.079167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-06,4.7375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-07,4.6
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-08,8.6
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-09,14.216667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-10,12.283333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-11,8.995833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-12,6.129167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-13,5.141667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-14,7.7625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-15,9.266667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-16,5.3625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-17,4.15
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-18,2.7875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-19,4.533333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-20,4.533333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-21,4.529167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-22,8.016667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-23,6.8875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-24,5.208333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-25,5.475
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-26,4.445833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-27,4.916667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-28,3.5125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-29,4.641667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-04-30,4.241667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-01,6.1875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-02,6.2875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-03,5.608333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-04,5.245833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-05,5.829167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-06,2.470833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-07,3.716667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-08,5.904167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-09,7.129167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-10,7.3125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-11,7.233333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-12,20.729167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-13,18.466667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-14,2.2625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-15,4.204167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-16,7.270833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-17,6.320833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-18,5.579167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-19,5.479167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-20,4.425
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-21,5.716667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-22,7.558333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-23,7.5
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-24,6.579167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-25,6.725
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-26,5.733333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-27,7.75
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-28,8.383333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-29,8.1875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-30,9.3375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-05-31,8.445833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-01,8.033333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-02,7.691667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-03,6.36087
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-04,7.25
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-05,8.454167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-06,8.9
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-07,8.845833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-08,8.683333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-09,8.770833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-10,11.358333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-11,12.129167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-12,12.291667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-13,10.941667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-14,8.679167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-15,7.6125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-16,8.508333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-17,8.566667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-18,11.441667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-19,10.3625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-20,16.9
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-21,19.65
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-22,4.266667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-23,4.629167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-24,8.120833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-25,9.216667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-26,10.883333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-27,12.054167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-28,9.6875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-29,8.279167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-06-30,9.5625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-01,12.778261
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-02,11.295833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-03,8.4375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-04,28.2
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-05,28.65
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-06,10.658333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-07,10.075
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-08,8.108333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-09,7.820833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-10,9.704167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-11,7.070833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-12,7.1625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-13,7.354167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-14,10.675
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-15,13.7375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-16,12.641667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-17,13.129167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-18,9.820833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-19,7.679167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-20,6.709091
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-21,4.391667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-22,7.954167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-23,8.641667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-24,15.420833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-25,13.670833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-26,8.820833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-27,5.558333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-28,12.679167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-29,12.0125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-30,21.482353
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-07-31,11.820833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-01,10.116667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-02,9.883333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-03,9.3625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-04,17.154167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-05,13.958333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-06,9.095833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-07,8.829167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-08,5.966667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-09,5.529167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-10,5.75
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-11,8.370833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-12,8.004762
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-13,11.370833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-14,13.204167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-15,9.645833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-16,7.683333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-17,4.925
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-18,6.704167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-19,8.629167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-20,9.6625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-21,11.4875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-22,8.595833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-23,9.5
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-24,5.833333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-25,7.0625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-26,7.804167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-27,7.333333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-28,14.458333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-29,15.2875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-30,12.066667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-08-31,10.125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-01,9.2875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-02,9.575
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-03,9.566667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-04,6.7
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-05,8.545833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-06,8.483333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-07,5.325
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-08,5.475
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-09,4.113043
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-10,6.3875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-11,7.058333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-12,7.804167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-13,5.841667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-14,4.491667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-15,6.041667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-16,6.658333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-17,8.2125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-18,8.3375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-19,7.691667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-20,4.279167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-21,5.629167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-22,5.970833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-23,4.933333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-24,5.125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-25,5.954167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-26,5.0375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-27,5.7
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-28,2.304167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-29,2.9875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-09-30,3.820833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-01,5.258333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-02,5.9375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-03,4.991667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-04,3.8125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-05,5.954167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-06,7.166667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-07,11.695652
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-08,10.441667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-09,2.970833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-10,3.566667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-11,2.491667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-12,2.775
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-13,4.083333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-14,4.516667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-15,2.566667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-16,2.495833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-17,7.15
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-18,8.458333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-19,3.3875
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-20,3.741667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-21,6.229167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-22,11.266667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-23,10.375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-24,8.4625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-25,3.558333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-26,6.1625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-27,2.966667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-28,5.995833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-29,11.170833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-30,11.791667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-10-31,12.295833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-01,7.7
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-02,8.954167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-03,9.783333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-04,4.804167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-05,5.775
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-06,6.754167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-07,5.808333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-08,4.879167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-09,9.458333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-10,10.758333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-11,13.683333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-12,11.229167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-13,6.625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-14,5.366667
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-15,7.725
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-16,4.308333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-17,0.654167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-18,4.325
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-19,4.608333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-20,6.854167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-21,9.2625
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-22,14.6375
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-23,17.658333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-24,13.0125
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-25,4.058333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-26,8.908333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-27,7.608333
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-28,5.795833
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-29,4.379167
Salt Lake County,2005,Copper View,40.598056,-111.894167,2025-11-30,6.2125
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-01,4.925
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-02,3.591667
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-03,3.454167
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-04,3.95
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-05,4.258333
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-06,5.116667
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-07,4.2375
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-08,4.341667
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-09,7.333333
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-10,7.2625
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-11,2.541667
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-12,4.25
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-13,5.575
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-14,5.1125
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-15,15.95
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-16,21.7875
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-17,17.4
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-18,1.608333
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-19,2.6125
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-20,4.125
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-21,10.266667
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-22,8.769565
Salt Lake County,3006,Hawthorne,40.736389,-111.872222,2025-01-23,7.308333
