sensor_index,name,latitude,longitude
37467,Layton 1100 W Hill Field Rd. powered by UTOPIA Fiber,41.07105,-111.987564
37481,Layton Andy Adams Park powered by UTOPIA Fiber,41.074577,-111.93478
37499,Layton Chapel Park powered by UTOPIA Fiber,41.057144,-111.949234
37727,Lynwood,40.72031,-111.8203
301861,Granite ridge,40.574833,-111.81496
39993,Riverton,40.537563,-111.92394
39999,Apricot and Quince,40.777283,-111.895325
302286,Wheatland Estates 84084,40.611526,-112.004005
40713,Bountiful Blvd Indian Springs,40.84942,-111.87097
41419,Reading Elementary,40.9478,-111.88453
42079,Upper Olympus Cove,40.672817,-111.78331
42529,Rowland Hall Two,40.751663,-111.86353
42873,Flight Park VOC,40.474594,-111.89141
43021,Eastcapitol Blvd Outdoor,40.792244,-111.88275
43339,Flight Park VOC 2,40.474472,-111.891624
43341,Draper Bench VOC 3,40.47587,-111.886765
44103,Ellis Park subdivision,40.89667,-111.85694
44157,BETA Residence,40.574078,-111.9588
44237,Northcliffe,40.785297,-111.863075
45707,"Highland, UT",40.428238,-111.80065
45841,Herriman - South Hills,40.477493,-111.9727
46295,Sugarhouse,40.723938,-111.83979
46773,West Valley Hillside Elementary powered by UTOPIA Fiber,40.67895,-112.03383
46777,West Valley Fire Department Station 72 powered by UTOPIA Fiber,40.68262,-111.994484
46799,Layton Lincoln Elementary powered by UTOPIA Fiber,41.087585,-111.97808
46863,West Valley Mountain View Corridor Trail powered by UTOPIA Fiber,40.63352,-112.04344
46875,Layton Lakeview Cemetery powered by UTOPIA Fiber,41.097664,-111.97415
46881,West Valley Hunter Elementary powered by UTOPIA Fiber,40.675575,-112.01961
47171,West Bench,40.689796,-112.08269
49155,Whittier School,40.735126,-111.882286
59223,VOC-LED-2,40.475525,-111.886055
59227,VOC-LED-1,40.475445,-111.88704
70849,Federal Heights,40.770924,-111.85196
83471,Bingham Park powered by UTOPIA Fiber,41.121555,-112.11596
83563,South Ogden Hwy 89 powered by UTOPIA Fiber,41.15395,-111.93702
83919,Hunter Junior High powered by UTOPIA Fiber,40.689068,-112.03574
84019,4109 Holder Dr. powered by UTOPIA Fiber,40.68181,-112.01307
85361,Illurity,40.97547,-111.93283
