time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-20T21:00:00Z,7.3,7.3
2026-01-20T22:00:00Z,7.2,7.2
2026-01-20T23:00:00Z,7.7,7.7
2026-01-21T00:00:00Z,7.7,7.7
2026-01-21T01:00:00Z,7.4,7.4
2026-01-21T02:00:00Z,4.6,4.6
2026-01-21T03:00:00Z,3.8,3.8
2026-01-21T04:00:00Z,2.9,2.9
2026-01-21T05:00:00Z,2.4,2.4
2026-01-21T06:00:00Z,3.5,3.5
2026-01-21T07:00:00Z,3.2,3.2
2026-01-21T08:00:00Z,2.4,2.4
2026-01-21T09:00:00Z,1.5,1.5
2026-01-21T10:00:00Z,0.8,0.8
2026-01-21T11:00:00Z,1.6,1.6
2026-01-21T12:00:00Z,1,1
2026-01-21T13:00:00Z,2.1,2.1
2026-01-21T14:00:00Z,2.2,2.2
2026-01-21T15:00:00Z,2.3,2.3
2026-01-21T16:00:00Z,4.7,4.7
2026-01-21T17:00:00Z,5.7,5.7
2026-01-21T18:00:00Z,4.1,4.1
2026-01-21T19:00:00Z,3.5,3.5
2026-01-21T20:00:00Z,5.2,5.2
2026-01-21T21:00:00Z,6.2,6.2
2026-01-21T22:00:00Z,5.3,5.3
2026-01-21T23:00:00Z,4.5,4.5
2026-01-22T00:00:00Z,4.4,4.4
2026-01-22T01:00:00Z,3.2,3.2
2026-01-22T02:00:00Z,4.2,4.2
2026-01-22T03:00:00Z,2.3,2.3
2026-01-22T04:00:00Z,1.9,1.9
2026-01-22T05:00:00Z,1.8,1.8
2026-01-22T06:00:00Z,1.3,1.3
2026-01-22T07:00:00Z,1.4,1.4
2026-01-22T08:00:00Z,1.6,1.6
2026-01-22T09:00:00Z,1.8,1.8
2026-01-22T10:00:00Z,2,2
2026-01-22T11:00:00Z,1.6,1.6
2026-01-22T12:00:00Z,1.4,1.4
2026-01-22T13:00:00Z,2,2
2026-01-22T14:00:00Z,1.4,1.4
2026-01-22T15:00:00Z,1.7,1.7
2026-01-22T16:00:00Z,4.2,4.2
2026-01-22T17:00:00Z,7.4,7.4
2026-01-22T18:00:00Z,8.7,8.7
2026-01-22T19:00:00Z,7.9,7.9
2026-01-22T20:00:00Z,8,8
2026-01-22T21:00:00Z,9,9
2026-01-22T22:00:00Z,8.4,8.4
2026-01-22T23:00:00Z,8,8
2026-01-23T00:00:00Z,10.5,10.5
2026-01-23T01:00:00Z,8.5,8.5
2026-01-23T02:00:00Z,3.9,3.9
2026-01-23T03:00:00Z,0.2,0.2
2026-01-23T04:00:00Z,1.2,1.2
2026-01-23T05:00:00Z,1.8,1.8
2026-01-23T06:00:00Z,2,2
2026-01-23T07:00:00Z,2.1,2.1
2026-01-23T08:00:00Z,1.7,1.7
2026-01-23T09:00:00Z,1.9,1.9
2026-01-23T10:00:00Z,4.4,4.4
2026-01-23T11:00:00Z,4.9,4.9
2026-01-23T12:00:00Z,3.9,3.9
2026-01-23T13:00:00Z,4.2,4.2
2026-01-23T14:00:00Z,6.3,6.3
2026-01-23T15:00:00Z,10,10
2026-01-23T16:00:00Z,14,14
2026-01-23T17:00:00Z,17.6,17.6
2026-01-23T18:00:00Z,20.5,20.5
2026-01-23T19:00:00Z,21.9,21.9
2026-01-23T20:00:00Z,24.4,31.6
2026-01-23T21:00:00Z,15.2,15.2
2026-01-23T22:00:00Z,25.6,26.3
2026-01-23T23:00:00Z,28.5,29.4
2026-01-24T00:00:00Z,26.1,26.2
2026-01-24T01:00:00Z,26.1,26.2
2026-01-24T02:00:00Z,27.5,27.6
2026-01-24T03:00:00Z,26.7,26.8
2026-01-24T04:00:00Z,29.7,30
2026-01-24T05:00:00Z,33,34.2
2026-01-24T06:00:00Z,33.6,34.8
2026-01-24T07:00:00Z,27.2,27.5
2026-01-24T08:00:00Z,26.6,26.6
2026-01-24T09:00:00Z,22.1,22.1
2026-01-24T10:00:00Z,23.4,23.4
2026-01-24T11:00:00Z,20.6,20.6
2026-01-24T12:00:00Z,18.3,18.3
2026-01-24T13:00:00Z,15.5,15.5
2026-01-24T14:00:00Z,15.4,15.4
2026-01-24T15:00:00Z,16.6,16.6
2026-01-24T16:00:00Z,17.9,17.9
2026-01-24T17:00:00Z,17.2,17.2
2026-01-24T18:00:00Z,13.6,13.6
2026-01-24T19:00:00Z,11.8,11.8
2026-01-24T20:00:00Z,10.7,10.7
2026-01-24T21:00:00Z,10.3,10.3
2026-01-24T22:00:00Z,8.4,8.4
2026-01-24T23:00:00Z,6.2,6.2
