time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-23T17:00:00Z,42.4,49.3
2026-01-23T18:00:00Z,47.1,57.6
2026-01-23T19:00:00Z,40.6,46.5
2026-01-23T20:00:00Z,44.6,53.9
2026-01-23T21:00:00Z,46.7,58.2
2026-01-23T22:00:00Z,55,77.3
2026-01-23T23:00:00Z,53,71.9
2026-01-24T00:00:00Z,48.1,59.4
2026-01-24T01:00:00Z,36.9,39.1
2026-01-24T02:00:00Z,37.8,40.4
2026-01-24T03:00:00Z,43.9,50.2
2026-01-24T04:00:00Z,44.4,51.1
2026-01-24T05:00:00Z,37.4,40.2
2026-01-24T06:00:00Z,29.7,29.8
2026-01-24T07:00:00Z,27.2,27.2
2026-01-24T08:00:00Z,27.8,27.8
2026-01-24T09:00:00Z,27.5,27.5
2026-01-24T10:00:00Z,27.2,27.2
2026-01-24T11:00:00Z,26,26
2026-01-24T12:00:00Z,26.8,26.8
2026-01-24T13:00:00Z,27.8,27.8
2026-01-24T14:00:00Z,29.7,29.7
2026-01-24T15:00:00Z,31,31
2026-01-24T16:00:00Z,31.3,31.3
2026-01-24T17:00:00Z,28.1,28.2
2026-01-24T18:00:00Z,22.2,22.2
2026-01-24T19:00:00Z,24.5,24.5
2026-01-24T20:00:00Z,22.9,22.9
2026-01-24T21:00:00Z,19,19
2026-01-24T22:00:00Z,19.5,21.5
2026-01-24T23:00:00Z,13.6,13.6
