time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-21T21:00:00Z,4.2,4.2
2026-01-21T22:00:00Z,4.4,4.4
2026-01-21T23:00:00Z,3.3,3.3
2026-01-22T00:00:00Z,3,3
2026-01-22T01:00:00Z,1.6,1.6
2026-01-22T02:00:00Z,1.2,1.2
2026-01-22T03:00:00Z,1.1,1.1
2026-01-22T04:00:00Z,1,1
2026-01-22T05:00:00Z,0.9,0.9
2026-01-22T06:00:00Z,0.9,0.9
2026-01-22T07:00:00Z,0.9,0.9
2026-01-22T08:00:00Z,0.6,0.6
2026-01-22T09:00:00Z,0.4,0.4
2026-01-22T10:00:00Z,0.8,0.8
2026-01-22T11:00:00Z,0.8,0.8
2026-01-22T12:00:00Z,0.7,0.7
2026-01-22T13:00:00Z,1,1
2026-01-22T14:00:00Z,2.2,2.2
2026-01-22T15:00:00Z,4.3,4.3
2026-01-22T16:00:00Z,5.9,5.9
2026-01-22T17:00:00Z,6.8,6.8
2026-01-22T18:00:00Z,9.6,9.6
2026-01-22T19:00:00Z,13.8,13.8
2026-01-22T20:00:00Z,14.4,14.4
2026-01-22T21:00:00Z,23.1,23.8
2026-01-22T22:00:00Z,35.2,37.3
2026-01-22T23:00:00Z,36.8,39.3
2026-01-23T00:00:00Z,37.3,39.3
2026-01-23T01:00:00Z,32,32.3
2026-01-23T02:00:00Z,15.3,15.3
2026-01-23T03:00:00Z,9.3,9.3
2026-01-23T04:00:00Z,11.4,11.4
2026-01-23T05:00:00Z,19.7,19.7
2026-01-23T06:00:00Z,19,19
2026-01-23T07:00:00Z,5.9,5.9
2026-01-23T14:00:00Z,61.9,68.6
2026-01-23T15:00:00Z,51.9,61.3
2026-01-23T16:00:00Z,51.1,63.1
2026-01-23T17:00:00Z,52.5,67.9
2026-01-23T18:00:00Z,56.8,79.6
2026-01-23T19:00:00Z,56,78.9
2026-01-23T20:00:00Z,53.6,74
2026-01-23T21:00:00Z,50.9,66.3
2026-01-23T22:00:00Z,48.4,60.7
2026-01-23T23:00:00Z,47.2,57.5
2026-01-24T00:00:00Z,36.7,38.6
2026-01-24T01:00:00Z,34.2,35.3
2026-01-24T02:00:00Z,42.9,49.2
2026-01-24T03:00:00Z,40.2,43.5
2026-01-24T04:00:00Z,34.5,34.9
