time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-01T00:00:00Z,35.3,35.4
2026-01-01T01:00:00Z,33.2,34.1
2026-01-01T02:00:00Z,30.8,32.3
2026-01-01T03:00:00Z,30.6,32
2026-01-01T04:00:00Z,27.8,29.2
2026-01-01T05:00:00Z,25,25.6
2026-01-01T06:00:00Z,24.4,24.4
2026-01-01T07:00:00Z,29.4,29.5
2026-01-01T08:00:00Z,23.7,23.7
2026-01-01T09:00:00Z,28.1,28.1
2026-01-01T10:00:00Z,32.5,32.5
2026-01-01T11:00:00Z,26.9,26.9
2026-01-01T12:00:00Z,14.8,14.8
2026-01-01T13:00:00Z,12.1,12.1
2026-01-01T14:00:00Z,9.8,9.8
2026-01-01T15:00:00Z,16.5,16.5
2026-01-01T16:00:00Z,14.4,14.4
2026-01-01T17:00:00Z,16.2,16.2
2026-01-01T18:00:00Z,22.1,22.1
2026-01-01T19:00:00Z,33.5,33.5
2026-01-01T20:00:00Z,34.8,35.1
2026-01-01T21:00:00Z,33.9,34
2026-01-01T22:00:00Z,33.1,33.7
2026-01-01T23:00:00Z,28.8,28.8
2026-01-02T00:00:00Z,25.2,25.2
2026-01-02T01:00:00Z,13.6,13.6
2026-01-02T02:00:00Z,16.7,16.7
2026-01-02T03:00:00Z,10.8,10.8
2026-01-02T04:00:00Z,11.5,11.5
2026-01-02T05:00:00Z,21.8,21.8
2026-01-02T06:00:00Z,27.5,27.6
2026-01-02T07:00:00Z,23.7,23.8
2026-01-02T08:00:00Z,23.7,24.4
2026-01-02T09:00:00Z,31.7,31.7
2026-01-02T10:00:00Z,17.7,17.7
2026-01-02T11:00:00Z,14.2,14.2
2026-01-02T12:00:00Z,11.1,11.1
2026-01-02T13:00:00Z,10.5,10.5
2026-01-02T14:00:00Z,10.7,10.7
2026-01-02T15:00:00Z,10.8,10.8
2026-01-02T16:00:00Z,9.2,9.2
2026-01-02T17:00:00Z,7.8,7.8
2026-01-02T18:00:00Z,7.9,7.9
2026-01-02T19:00:00Z,9.8,9.8
2026-01-02T20:00:00Z,7,7
2026-01-02T21:00:00Z,7.4,7.4
2026-01-02T22:00:00Z,7.9,7.9
2026-01-02T23:00:00Z,11,11
2026-01-03T00:00:00Z,10.2,10.2
2026-01-03T01:00:00Z,12.9,12.9
2026-01-03T02:00:00Z,10.1,10.1
2026-01-03T03:00:00Z,8.8,8.8
2026-01-03T04:00:00Z,8.4,8.4
2026-01-03T05:00:00Z,8.1,8.1
2026-01-03T06:00:00Z,7.9,7.9
2026-01-03T07:00:00Z,7.9,7.9
2026-01-03T08:00:00Z,7.7,7.7
2026-01-03T09:00:00Z,7.2,7.2
2026-01-03T10:00:00Z,7.5,7.5
2026-01-03T11:00:00Z,7.4,7.4
2026-01-03T12:00:00Z,7.4,7.4
2026-01-03T13:00:00Z,8.3,8.3
2026-01-03T14:00:00Z,7.8,7.8
2026-01-03T15:00:00Z,8.2,8.2
2026-01-03T16:00:00Z,8.5,8.5
2026-01-03T17:00:00Z,8.8,8.8
2026-01-03T18:00:00Z,8.6,8.6
2026-01-03T19:00:00Z,10.8,10.8
2026-01-03T20:00:00Z,9.7,9.7
2026-01-03T21:00:00Z,10.1,10.1
2026-01-03T22:00:00Z,12.5,12.5
2026-01-03T23:00:00Z,9.4,9.4
2026-01-04T00:00:00Z,9,9
2026-01-04T01:00:00Z,10.4,10.6
2026-01-04T02:00:00Z,19.8,21.4
2026-01-04T03:00:00Z,13.8,14.1
2026-01-04T04:00:00Z,13.4,13.8
2026-01-04T05:00:00Z,20.6,23.5
2026-01-04T06:00:00Z,16,17
2026-01-04T07:00:00Z,13.2,13.4
2026-01-04T08:00:00Z,12.8,12.9
2026-01-04T09:00:00Z,14.7,15.1
2026-01-04T10:00:00Z,13.9,14.3
2026-01-04T11:00:00Z,14.1,14.4
2026-01-04T12:00:00Z,12.7,12.7
2026-01-04T13:00:00Z,13,13.1
2026-01-04T14:00:00Z,12.7,12.8
2026-01-04T15:00:00Z,12.4,12.4
2026-01-04T16:00:00Z,9,9
2026-01-04T17:00:00Z,9.9,9.9
2026-01-04T18:00:00Z,11,11.2
2026-01-04T19:00:00Z,10.1,10.1
2026-01-04T20:00:00Z,57.2,79.9
2026-01-04T21:00:00Z,1048.5,1568.8
2026-01-04T22:00:00Z,31.9,41.4
2026-01-04T23:00:00Z,12.2,12.4
2026-01-05T00:00:00Z,11.2,11.3
2026-01-05T01:00:00Z,10.6,10.6
2026-01-05T02:00:00Z,11,11.1
2026-01-05T03:00:00Z,10.2,10.3
2026-01-05T04:00:00Z,13.2,13.2
2026-01-05T05:00:00Z,12.7,12.8
2026-01-05T06:00:00Z,11,11.1
2026-01-05T07:00:00Z,8.4,8.4
2026-01-05T08:00:00Z,8.3,8.3
2026-01-05T09:00:00Z,8.9,8.9
2026-01-05T10:00:00Z,8.4,8.4
2026-01-05T11:00:00Z,8,8
2026-01-05T12:00:00Z,9.7,9.7
2026-01-05T13:00:00Z,9.1,9.1
2026-01-05T14:00:00Z,8.7,8.7
2026-01-05T15:00:00Z,7.9,7.9
2026-01-05T16:00:00Z,8.2,8.2
2026-01-05T17:00:00Z,8.3,8.3
2026-01-05T18:00:00Z,9.8,9.8
2026-01-05T19:00:00Z,10.3,10.3
2026-01-05T20:00:00Z,10.5,10.5
2026-01-05T21:00:00Z,9.9,9.9
2026-01-05T22:00:00Z,10,10
2026-01-05T23:00:00Z,10.4,10.4
2026-01-06T00:00:00Z,8.7,8.7
2026-01-06T01:00:00Z,8.7,8.7
2026-01-06T02:00:00Z,10.5,10.5
2026-01-06T03:00:00Z,12.4,12.4
2026-01-06T04:00:00Z,17.4,17.4
2026-01-06T05:00:00Z,19.1,19.2
2026-01-06T06:00:00Z,15.5,15.5
2026-01-06T07:00:00Z,10.1,10.1
2026-01-06T08:00:00Z,11.2,11.2
2026-01-06T09:00:00Z,11.1,11.1
2026-01-06T10:00:00Z,15,15
2026-01-06T11:00:00Z,21.6,22.2
2026-01-06T12:00:00Z,26.3,29
2026-01-06T13:00:00Z,26.5,28.6
2026-01-06T14:00:00Z,28.1,31.5
2026-01-06T15:00:00Z,27.6,30.5
2026-01-06T16:00:00Z,25,26.7
2026-01-06T17:00:00Z,14.4,14.7
2026-01-06T18:00:00Z,9,9
2026-01-06T19:00:00Z,7.9,7.9
2026-01-06T20:00:00Z,9.3,9.3
2026-01-06T21:00:00Z,8.4,8.4
