time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-17T16:00:00Z,29.8,29.8
2026-01-17T17:00:00Z,31.2,31.2
2026-01-17T18:00:00Z,34.4,34.5
2026-01-17T19:00:00Z,28.6,28.6
2026-01-17T20:00:00Z,24.8,24.8
2026-01-17T21:00:00Z,21,21
2026-01-17T22:00:00Z,18.9,18.9
2026-01-17T23:00:00Z,16.5,16.5
2026-01-18T00:00:00Z,17.2,17.2
2026-01-18T01:00:00Z,14.7,14.7
2026-01-18T02:00:00Z,8.6,8.6
2026-01-18T03:00:00Z,3.9,3.9
2026-01-18T04:00:00Z,1.3,1.3
2026-01-18T05:00:00Z,0.1,0.1
2026-01-18T06:00:00Z,0,0
2026-01-18T07:00:00Z,0,0
2026-01-18T08:00:00Z,0,0
2026-01-18T09:00:00Z,0.1,0.1
2026-01-18T10:00:00Z,0.1,0.1
2026-01-18T11:00:00Z,0,0
2026-01-18T12:00:00Z,0,0
2026-01-18T13:00:00Z,0,0
2026-01-18T14:00:00Z,0,0
2026-01-18T15:00:00Z,0,0
2026-01-18T16:00:00Z,0,0
2026-01-18T17:00:00Z,0.3,0.3
2026-01-18T18:00:00Z,7.7,7.7
2026-01-18T19:00:00Z,11.3,11.3
2026-01-18T20:00:00Z,11.8,11.8
2026-01-18T21:00:00Z,11.2,11.2
2026-01-18T22:00:00Z,11.2,11.2
2026-01-18T23:00:00Z,13.2,13.2
2026-01-19T00:00:00Z,12.7,12.7
2026-01-19T01:00:00Z,13.8,13.8
2026-01-19T02:00:00Z,7.4,7.4
2026-01-19T03:00:00Z,4,4
2026-01-19T04:00:00Z,1.4,1.4
2026-01-19T05:00:00Z,2.5,2.5
2026-01-19T06:00:00Z,3,3
2026-01-19T07:00:00Z,3.3,3.3
2026-01-19T08:00:00Z,5.2,5.2
2026-01-19T09:00:00Z,1.9,1.9
2026-01-19T10:00:00Z,1.1,1.1
2026-01-19T11:00:00Z,6.8,6.8
2026-01-19T12:00:00Z,4.9,4.9
2026-01-19T13:00:00Z,7,7
2026-01-19T14:00:00Z,19.1,19.1
2026-01-19T15:00:00Z,12.6,12.6
2026-01-19T16:00:00Z,19.4,19.4
2026-01-19T17:00:00Z,18.9,18.9
2026-01-19T18:00:00Z,21.7,21.7
2026-01-19T19:00:00Z,20.3,20.3
2026-01-19T20:00:00Z,20.1,20.1
2026-01-19T21:00:00Z,18.9,18.9
2026-01-19T22:00:00Z,17.5,17.5
2026-01-19T23:00:00Z,11.5,11.5
2026-01-20T00:00:00Z,11.7,11.7
2026-01-20T01:00:00Z,11.6,11.6
2026-01-20T02:00:00Z,7.7,7.7
2026-01-22T11:00:00Z,0,0
2026-01-22T12:00:00Z,0,0
2026-01-22T13:00:00Z,0,0
2026-01-22T14:00:00Z,0.1,0.1
2026-01-22T15:00:00Z,0.1,0.1
2026-01-22T16:00:00Z,1.3,1.3
2026-01-22T17:00:00Z,4.6,4.6
2026-01-22T18:00:00Z,11.9,11.9
2026-01-22T19:00:00Z,17.7,17.7
2026-01-22T20:00:00Z,16.6,16.6
2026-01-22T21:00:00Z,24.6,24.6
2026-01-22T22:00:00Z,30.2,30.2
2026-01-22T23:00:00Z,31.8,31.8
2026-01-23T00:00:00Z,25.7,25.7
2026-01-23T01:00:00Z,14,14
2026-01-23T02:00:00Z,0.7,0.7
2026-01-23T03:00:00Z,1.4,1.4
2026-01-23T04:00:00Z,0.5,0.5
2026-01-23T05:00:00Z,0.2,0.2
2026-01-23T06:00:00Z,0.1,0.1
2026-01-23T07:00:00Z,0.2,0.2
2026-01-23T08:00:00Z,0.2,0.2
2026-01-23T09:00:00Z,0.6,0.6
2026-01-23T10:00:00Z,0.5,0.5
2026-01-23T11:00:00Z,1.1,1.1
2026-01-23T12:00:00Z,2.1,2.1
2026-01-23T13:00:00Z,5.7,5.7
2026-01-23T14:00:00Z,5.5,5.5
2026-01-23T15:00:00Z,17.1,17.1
2026-01-23T16:00:00Z,25.7,25.7
2026-01-23T17:00:00Z,36.6,37.1
2026-01-23T18:00:00Z,39.9,40.9
2026-01-23T19:00:00Z,35.2,35.5
2026-01-23T20:00:00Z,19.7,19.7
2026-01-23T21:00:00Z,43.5,47.3
2026-01-23T22:00:00Z,47.1,52.5
2026-01-23T23:00:00Z,44.1,47.5
2026-01-24T00:00:00Z,36,36.8
2026-01-24T01:00:00Z,24.6,24.6
2026-01-24T02:00:00Z,31.3,31.3
2026-01-24T03:00:00Z,31.6,31.6
2026-01-24T04:00:00Z,33.2,33.3
2026-01-24T05:00:00Z,27.6,27.6
2026-01-24T06:00:00Z,28.4,28.4
2026-01-24T07:00:00Z,25,25
2026-01-24T08:00:00Z,18.5,18.5
2026-01-24T09:00:00Z,11.6,11.6
2026-01-24T10:00:00Z,15.5,15.5
2026-01-24T11:00:00Z,13.9,13.9
2026-01-24T12:00:00Z,5.9,5.9
2026-01-24T13:00:00Z,6.7,6.7
2026-01-24T14:00:00Z,4.8,4.8
2026-01-24T15:00:00Z,3.6,3.6
2026-01-24T16:00:00Z,7.2,7.2
2026-01-24T17:00:00Z,13.2,13.2
2026-01-24T18:00:00Z,11.9,11.9
2026-01-24T19:00:00Z,14.2,14.2
2026-01-24T20:00:00Z,13,13
2026-01-24T21:00:00Z,11,11
2026-01-24T22:00:00Z,8.8,8.8
2026-01-24T23:00:00Z,7.6,7.6
