time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-01T00:00:00Z,44.6,52.9
2026-01-01T01:00:00Z,40.6,44.1
2026-01-01T02:00:00Z,46.4,53.4
2026-01-01T03:00:00Z,53.2,65.5
2026-01-01T04:00:00Z,59.2,77.3
2026-01-01T05:00:00Z,60.6,79.5
2026-01-01T06:00:00Z,65.3,89.2
2026-01-01T07:00:00Z,69.4,97.1
2026-01-01T08:00:00Z,63.4,86.2
2026-01-01T09:00:00Z,59.7,78.3
2026-01-01T10:00:00Z,57,71.7
2026-01-01T11:00:00Z,55,66.7
2026-01-01T12:00:00Z,52.7,62.7
2026-01-01T13:00:00Z,54.6,67.2
2026-01-01T14:00:00Z,55.9,70.3
2026-01-01T15:00:00Z,58.3,75
2026-01-01T16:00:00Z,94.2,128.8
2026-01-01T17:00:00Z,111.4,155.7
2026-01-01T18:00:00Z,49.3,58.3
2026-01-01T19:00:00Z,64.9,86.3
2026-01-01T20:00:00Z,67.9,92.7
2026-01-01T21:00:00Z,65.1,88.2
2026-01-01T22:00:00Z,57.1,74.4
2026-01-01T23:00:00Z,55.8,71.8
2026-01-02T00:00:00Z,60.6,80.3
2026-01-02T01:00:00Z,56.4,73.1
2026-01-02T02:00:00Z,49.8,59.6
2026-01-02T03:00:00Z,50.6,60.8
2026-01-02T04:00:00Z,87.4,120.8
2026-01-02T05:00:00Z,96.3,136.3
2026-01-02T06:00:00Z,119.9,172.4
2026-01-02T07:00:00Z,92.5,128.9
2026-01-02T08:00:00Z,56.4,72.5
2026-01-02T09:00:00Z,65.9,89.4
2026-01-02T10:00:00Z,58.9,82.4
2026-01-02T11:00:00Z,60.9,86.8
2026-01-02T12:00:00Z,59.3,84.5
2026-01-02T13:00:00Z,44.2,59.1
2026-01-02T14:00:00Z,32.7,36.8
2026-01-02T15:00:00Z,45.3,59.5
2026-01-02T16:00:00Z,39.8,50
2026-01-02T17:00:00Z,23.4,27.3
2026-01-02T18:00:00Z,33.8,47.1
2026-01-02T19:00:00Z,31.4,43.1
2026-01-02T20:00:00Z,10.7,11.1
2026-01-02T21:00:00Z,10.1,10.1
2026-01-02T22:00:00Z,18.5,19.9
2026-01-02T23:00:00Z,26.4,31.8
2026-01-03T00:00:00Z,18.6,18.8
2026-01-03T01:00:00Z,18.4,18.5
2026-01-03T02:00:00Z,19.6,19.7
2026-01-03T03:00:00Z,23.4,23.8
2026-01-03T04:00:00Z,29.9,33.6
2026-01-03T05:00:00Z,47.5,67.3
2026-01-03T06:00:00Z,46.9,64.8
2026-01-03T07:00:00Z,25.8,27
2026-01-03T08:00:00Z,23.7,24.3
2026-01-03T09:00:00Z,24.2,26.2
2026-01-03T10:00:00Z,15.8,16.2
2026-01-03T11:00:00Z,16.5,16.5
2026-01-03T12:00:00Z,19.6,20.1
2026-01-03T13:00:00Z,17.5,17.7
2026-01-03T14:00:00Z,17.5,19.4
2026-01-03T15:00:00Z,16.4,16.8
2026-01-03T16:00:00Z,11,11.1
2026-01-03T17:00:00Z,10.7,10.9
2026-01-03T18:00:00Z,11.8,12.1
2026-01-03T19:00:00Z,9.9,10
2026-01-03T20:00:00Z,12.8,12.9
2026-01-03T21:00:00Z,12.8,12.9
2026-01-03T22:00:00Z,7.6,7.6
2026-01-03T23:00:00Z,8.3,8.3
2026-01-04T00:00:00Z,10.8,10.9
2026-01-04T01:00:00Z,6.8,6.8
2026-01-04T02:00:00Z,8.9,8.9
2026-01-04T03:00:00Z,6.5,6.5
2026-01-04T04:00:00Z,6.5,6.5
2026-01-04T05:00:00Z,8.7,8.8
2026-01-04T06:00:00Z,9.3,9.3
2026-01-04T07:00:00Z,7.3,7.3
2026-01-04T08:00:00Z,7.6,7.6
2026-01-04T09:00:00Z,7.9,7.9
2026-01-04T10:00:00Z,7.4,7.4
2026-01-04T11:00:00Z,6.9,6.9
2026-01-04T12:00:00Z,7.3,7.3
2026-01-04T13:00:00Z,7.7,7.7
2026-01-04T14:00:00Z,7.9,7.9
2026-01-04T15:00:00Z,8.2,8.3
2026-01-04T16:00:00Z,7.7,7.7
2026-01-04T17:00:00Z,7,7
2026-01-04T18:00:00Z,9.9,9.9
2026-01-04T19:00:00Z,8.8,8.8
2026-01-04T20:00:00Z,11.8,11.9
2026-01-04T21:00:00Z,12.9,12.9
2026-01-04T22:00:00Z,12.8,13
2026-01-04T23:00:00Z,10.7,10.7
2026-01-05T00:00:00Z,11.5,11.6
2026-01-05T01:00:00Z,9.4,9.4
2026-01-05T02:00:00Z,8.2,8.2
2026-01-05T03:00:00Z,10.3,10.3
2026-01-05T04:00:00Z,12.7,12.8
2026-01-05T05:00:00Z,21.8,24.5
2026-01-05T06:00:00Z,16.6,17.1
2026-01-05T07:00:00Z,8,8
2026-01-05T08:00:00Z,7,7
2026-01-05T09:00:00Z,6.9,6.9
2026-01-05T10:00:00Z,6.4,6.4
2026-01-05T11:00:00Z,6.7,6.8
2026-01-05T12:00:00Z,7.7,7.8
2026-01-05T13:00:00Z,15.6,16.4
2026-01-05T14:00:00Z,24,28.6
2026-01-05T15:00:00Z,25.3,30.8
2026-01-05T16:00:00Z,37.2,53.3
2026-01-05T17:00:00Z,28.9,38.4
2026-01-05T18:00:00Z,20,22.5
2026-01-05T19:00:00Z,19.4,21.2
2026-01-05T20:00:00Z,11.8,12.2
2026-01-05T21:00:00Z,12.6,13
2026-01-05T22:00:00Z,17.5,18.8
2026-01-05T23:00:00Z,19.1,21
2026-01-06T00:00:00Z,26.1,33.6
2026-01-06T01:00:00Z,26.5,32.4
2026-01-06T02:00:00Z,22.4,24
2026-01-06T03:00:00Z,34.5,44
2026-01-06T04:00:00Z,36.2,48.5
2026-01-06T05:00:00Z,32.8,41.9
2026-01-06T06:00:00Z,25,27.9
2026-01-06T07:00:00Z,18.7,18.9
2026-01-06T08:00:00Z,20.9,21.7
2026-01-06T09:00:00Z,21.9,23.2
2026-01-06T10:00:00Z,22.1,22.9
2026-01-06T11:00:00Z,18.9,19.1
2026-01-06T12:00:00Z,18.4,19.2
2026-01-06T13:00:00Z,21.2,23
2026-01-06T14:00:00Z,25.5,30.2
2026-01-06T15:00:00Z,28,34.2
2026-01-06T16:00:00Z,19.1,21.1
