time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-01T00:00:00Z,48.6,62.6
2026-01-01T01:00:00Z,43.4,53.3
2026-01-01T02:00:00Z,56,76.1
2026-01-01T03:00:00Z,57.4,78.2
2026-01-01T04:00:00Z,63.4,86.8
2026-01-01T05:00:00Z,68.1,94.4
2026-01-01T06:00:00Z,65.8,90.8
2026-01-01T19:00:00Z,39.3,50
2026-01-01T20:00:00Z,56,74.9
2026-01-01T21:00:00Z,51.8,66.9
2026-01-01T22:00:00Z,54,71.5
2026-01-01T23:00:00Z,49.5,63.7
2026-01-02T00:00:00Z,75.7,107.6
2026-01-02T01:00:00Z,41.7,49.1
2026-01-02T02:00:00Z,43.4,52.6
2026-01-02T03:00:00Z,41,48.3
2026-01-02T04:00:00Z,46.6,58.8
2026-01-02T05:00:00Z,63.4,87
2026-01-02T06:00:00Z,71.7,100.8
2026-01-02T07:00:00Z,67.4,94.4
2026-01-02T08:00:00Z,45,55.9
2026-01-02T09:00:00Z,43.1,52.9
2026-01-02T10:00:00Z,58.2,78.3
2026-01-02T11:00:00Z,40,47.9
2026-01-02T12:00:00Z,53.5,69.8
2026-01-02T13:00:00Z,28.6,32
2026-01-02T14:00:00Z,21.4,21.6
2026-01-02T15:00:00Z,18.9,19
2026-01-02T16:00:00Z,19.1,19.1
2026-01-02T17:00:00Z,10.3,10.3
2026-01-02T18:00:00Z,6.6,6.7
2026-01-02T19:00:00Z,6.6,7
2026-01-02T20:00:00Z,5.2,5.2
2026-01-02T21:00:00Z,2.2,2.2
2026-01-02T22:00:00Z,2.3,2.3
2026-01-02T23:00:00Z,3.9,3.9
2026-01-03T00:00:00Z,8.2,8.3
2026-01-03T01:00:00Z,9,9
2026-01-03T02:00:00Z,3.7,3.7
2026-01-03T03:00:00Z,6,6
2026-01-03T04:00:00Z,7.4,7.4
2026-01-03T05:00:00Z,11.1,11.3
2026-01-03T06:00:00Z,16.3,16.5
2026-01-03T07:00:00Z,30.7,34.9
2026-01-03T08:00:00Z,23.4,25.7
2026-01-03T09:00:00Z,29.7,34.9
