time_stamp,pm2.5_atm,pm2.5_cf_1
2026-01-08T00:00:00Z,2.3,2.3
2026-01-08T01:00:00Z,0.6,0.6
2026-01-08T02:00:00Z,0.7,0.7
2026-01-08T03:00:00Z,1.3,1.3
2026-01-08T04:00:00Z,2.5,2.5
2026-01-08T05:00:00Z,2.7,2.7
2026-01-08T06:00:00Z,4.2,4.2
2026-01-08T07:00:00Z,6.3,6.3
2026-01-08T08:00:00Z,6.6,6.6
2026-01-08T09:00:00Z,2,2
2026-01-08T10:00:00Z,0.1,0.1
2026-01-08T11:00:00Z,0.9,0.9
2026-01-08T12:00:00Z,2.7,2.7
2026-01-08T13:00:00Z,4.3,4.3
2026-01-08T14:00:00Z,7.3,7.7
2026-01-08T15:00:00Z,6.6,6.6
2026-01-08T16:00:00Z,9.8,9.8
2026-01-08T17:00:00Z,3.6,3.6
2026-01-08T18:00:00Z,0.1,0.1
2026-01-08T19:00:00Z,0.2,0.2
2026-01-08T20:00:00Z,0.6,0.6
2026-01-08T21:00:00Z,0.3,0.3
2026-01-08T22:00:00Z,1,1
2026-01-08T23:00:00Z,0.6,0.6
2026-01-09T00:00:00Z,0.8,0.8
2026-01-09T01:00:00Z,0.5,0.5
2026-01-09T02:00:00Z,0.4,0.4
2026-01-09T03:00:00Z,0.2,0.2
2026-01-09T04:00:00Z,0.3,0.3
2026-01-09T05:00:00Z,0.1,0.1
2026-01-09T06:00:00Z,0,0
2026-01-09T07:00:00Z,0.1,0.1
2026-01-09T08:00:00Z,0.1,0.1
2026-01-09T09:00:00Z,0.2,0.2
2026-01-09T10:00:00Z,0.1,0.1
2026-01-09T11:00:00Z,0,0
2026-01-09T12:00:00Z,0.1,0.1
2026-01-09T13:00:00Z,0.6,0.6
2026-01-09T14:00:00Z,2.1,2.1
2026-01-09T15:00:00Z,2.6,2.6
2026-01-09T16:00:00Z,2.1,2.1
2026-01-09T17:00:00Z,1,1
2026-01-09T18:00:00Z,0.4,0.4
2026-01-09T19:00:00Z,2.6,2.6
2026-01-09T20:00:00Z,4.6,4.6
2026-01-09T21:00:00Z,1.5,1.5
2026-01-09T22:00:00Z,1.5,1.5
2026-01-09T23:00:00Z,1.7,1.7
2026-01-10T00:00:00Z,1.9,1.9
2026-01-10T01:00:00Z,3.5,3.5
2026-01-10T02:00:00Z,4.8,4.8
2026-01-10T03:00:00Z,12.4,12.8
2026-01-10T04:00:00Z,18.2,18.2
2026-01-10T05:00:00Z,16.5,16.5
2026-01-10T06:00:00Z,18,18
2026-01-10T07:00:00Z,16.3,16.3
2026-01-10T08:00:00Z,13,13
2026-01-10T09:00:00Z,11.6,11.6
2026-01-10T10:00:00Z,10.9,10.9
2026-01-10T11:00:00Z,8.7,8.7
2026-01-10T12:00:00Z,9.9,9.9
2026-01-10T13:00:00Z,12.4,12.4
2026-01-10T14:00:00Z,13.5,13.5
2026-01-10T15:00:00Z,13.7,13.7
2026-01-10T16:00:00Z,16,16
2026-01-10T17:00:00Z,13.3,13.3
2026-01-10T18:00:00Z,12,12
2026-01-10T19:00:00Z,6.7,6.7
2026-01-10T20:00:00Z,6.2,6.2
2026-01-10T21:00:00Z,7.7,7.7
2026-01-10T22:00:00Z,7.7,7.7
2026-01-10T23:00:00Z,9.1,9.1
2026-01-11T00:00:00Z,5.9,5.9
2026-01-11T01:00:00Z,9.5,9.5
2026-01-11T02:00:00Z,12.8,12.8
2026-01-11T03:00:00Z,13.5,13.5
2026-01-11T04:00:00Z,18.6,18.6
2026-01-11T05:00:00Z,16.9,16.9
2026-01-11T06:00:00Z,21.1,21.3
2026-01-11T07:00:00Z,18.4,18.4
2026-01-11T08:00:00Z,17.4,17.4
2026-01-11T09:00:00Z,22.1,22.2
2026-01-11T10:00:00Z,17.8,17.9
2026-01-11T11:00:00Z,18,18
2026-01-11T12:00:00Z,20,20
2026-01-11T13:00:00Z,21.7,21.7
2026-01-11T14:00:00Z,25.4,25.4
2026-01-11T15:00:00Z,27.6,27.7
2026-01-11T16:00:00Z,30.1,30.7
2026-01-11T17:00:00Z,30.3,31.1
2026-01-11T18:00:00Z,29.2,29.6
2026-01-11T19:00:00Z,28.3,28.5
2026-01-11T20:00:00Z,27.6,27.7
2026-01-11T21:00:00Z,28,28.2
2026-01-11T22:00:00Z,32.3,34.3
2026-01-11T23:00:00Z,32.8,35.2
2026-01-12T00:00:00Z,32.6,34.8
2026-01-12T01:00:00Z,51.4,64.8
2026-01-12T02:00:00Z,33.9,37
2026-01-12T03:00:00Z,35.9,40.3
2026-01-12T04:00:00Z,37.3,42.6
2026-01-12T05:00:00Z,35.5,39.3
2026-01-12T06:00:00Z,35,38.4
2026-01-12T07:00:00Z,34,36.5
2026-01-12T08:00:00Z,37.1,41.8
2026-01-12T09:00:00Z,37.8,42.8
2026-01-12T10:00:00Z,38.9,44.6
2026-01-12T11:00:00Z,39.1,44.9
2026-01-12T12:00:00Z,41.4,49
2026-01-12T13:00:00Z,42.7,51.5
2026-01-12T14:00:00Z,44.9,56.2
2026-01-12T15:00:00Z,44.7,56.1
2026-01-12T16:00:00Z,45.1,58.4
2026-01-12T17:00:00Z,44.5,57.6
2026-01-12T18:00:00Z,45.8,61.1
2026-01-12T19:00:00Z,47.3,64.6
2026-01-12T20:00:00Z,46.7,63.1
2026-01-12T21:00:00Z,47.8,66.1
2026-01-12T22:00:00Z,43.8,56.4
2026-01-12T23:00:00Z,38.9,45.6
2026-01-13T00:00:00Z,39.8,47.5
2026-01-13T01:00:00Z,42.2,52.7
2026-01-13T02:00:00Z,42.5,53
2026-01-13T03:00:00Z,45.8,60.8
2026-01-13T04:00:00Z,45.4,60
2026-01-13T05:00:00Z,42.2,52.1
2026-01-13T06:00:00Z,43,53.8
2026-01-13T07:00:00Z,45.4,59.3
2026-01-13T08:00:00Z,45.9,60
2026-01-13T09:00:00Z,46.6,62.3
2026-01-13T10:00:00Z,46.5,61.7
2026-01-13T11:00:00Z,47.1,63.1
2026-01-13T12:00:00Z,47,62.7
2026-01-13T13:00:00Z,47.6,64
2026-01-13T14:00:00Z,47.4,63.7
2026-01-13T15:00:00Z,47.5,64.1
2026-01-13T16:00:00Z,48.2,66.9
2026-01-13T17:00:00Z,50,71.8
2026-01-13T18:00:00Z,50.7,73.7
2026-01-13T19:00:00Z,50.6,73.4
2026-01-13T20:00:00Z,49.7,70.8
2026-01-13T21:00:00Z,52.3,77.8
2026-01-13T22:00:00Z,50.2,72.4
2026-01-13T23:00:00Z,46.1,61.9
2026-01-14T00:00:00Z,42.5,53.1
2026-01-14T01:00:00Z,44.7,58.3
2026-01-14T02:00:00Z,43.4,55
