sensor_id,lat,lon,pm25
208781,40.70658,-111.78191,11.932280952380953
204315,40.671486,-111.81682,19.013798263888887
206869,40.49085,-112.02375,17.62123950177936
243613,40.54631,-111.83329,20.990809722222224
114465,40.598248,-111.83052,18.526737847222222
35003,41.06097,-112.03561,16.807033680555552
6360,40.766937,-111.86745,13.161239236111113
22955,40.741535,-111.818665,13.330751388888888
5460,40.72751,-111.861435,18.521335069444444
250567,40.537945,-111.9015,12.894206944444445
23587,40.709763,-111.8179,14.258678472222222
3092,40.733234,-111.5874,4.751275347222222
108206,41.09873,-111.98162,19.002182291666667
249941,40.666595,-111.84979,18.42129772727273
297515,40.77094,-111.88288,21.567848
200679,40.576122,-111.79993,13.146246527777778
86975,40.690933,-111.7936,12.35903408695652
284656,40.481133,-111.918365,22.138035555555554
46777,40.68262,-111.994484,18.735014930555554
100865,40.692505,-111.81041,15.960013194444446
235167,40.77708,-111.867424,22.783991666666665
5808,40.646835,-112.02559,9.011245774647886
111526,41.04566,-111.926216,8.619558007117439
109716,40.507366,-111.85163,19.40104236111111
189669,40.620743,-111.86325,19.48613611111111
207743,40.567074,-111.98856,21.07982048611111
42529,40.751663,-111.86353,18.216483333333333
296645,40.731598,-111.86603,3.6614
20897,40.782787,-111.94669,23.059938541666664
274454,40.63181,-112.032265,21.95655625
6356,40.77445,-111.88332,15.46849548611111
23627,41.145077,-111.7559,7.944181944444445
13309,40.70602,-112.05378,10.17471875
208783,40.706783,-111.793655,15.968248571428573
126897,41.074673,-111.99224,14.873649652777777
189691,40.87651,-111.86706,12.70294861111111
20957,40.64714,-111.91174,18.562126041666666
13239,41.068417,-112.005936,13.898718402777778
44237,40.785297,-111.863075,16.626986111111112
206185,40.497574,-112.03069,16.135873611111112
189655,40.6389,-111.8473,18.260380902777776
17949,40.65524,-111.88562,22.706596875
262151,40.600685,-112.04675,17.91919548611111
148315,40.678017,-111.57732,8.012662152777779
112884,40.744972,-111.848,11.052264930555557
110302,40.76059,-111.59286,9.986444288224956
112756,40.45035,-111.9342,18.61628888888889
180593,40.708187,-112.09878,20.013177083333332
37727,40.72031,-111.8203,15.937535191637629
46875,41.097664,-111.97415,16.00971875
45707,40.428238,-111.80065,20.772267361111112
18259,40.638115,-111.92207,11.99748090277778
86147,40.70862,-111.97746,14.085384375
189717,40.901,-111.87291,16.4351875
45841,40.477493,-111.9727,22.205624305555556
18029,40.919155,-111.87821,20.34396215277778
214407,40.547657,-111.8519,14.089367588932808
189657,40.667492,-111.901566,18.357495833333335
18319,40.686424,-112.01881,22.34278014184397
133792,40.6538,-111.87271,15.920843055555556
243047,40.555855,-111.87179,25.42777116104869
189693,40.87983,-111.86952,12.378511805555556
282206,40.5761,-111.78776,11.629821875000001
281274,40.6224,-111.80918,24.474250694444443
15817,41.094536,-111.96916,16.787313541666666
18469,40.735943,-111.80772,17.30124712041885
33163,41.06404,-112.02499,32.99308055555556
85765,41.118206,-112.042175,16.969117013888887
32671,41.140507,-112.08092,9.85082222222222
30887,40.942867,-111.89044,12.257759722222223
4553,40.835648,-111.887764,10.796308333333334
39993,40.537563,-111.92394,21.39693870402802
13311,40.606117,-111.90424,22.350013541666666
34941,40.691025,-111.78707,12.574038333333332
205861,40.694977,-111.8186,18.195412500000003
1539,40.774963,-111.84694,21.48533817204301
2977,40.473038,-111.886185,14.664697222222223
984,40.595387,-111.807755,10.095257043478261
192375,40.69491,-111.85545,3.8171350694444444
6332,41.053085,-111.9725,6.35184826388889
165997,40.733875,-111.84109,19.93637386759582
30953,40.939285,-111.8828,53.87022430555556
189681,40.639633,-111.86979,19.014608680555554
37499,41.057144,-111.949234,20.037759722222223
249251,40.867813,-111.904144,22.824107291666664
9566,40.633564,-111.80854,10.014121180555556
13253,41.088875,-111.96451,16.029844097222224
36679,40.47573,-111.88447,18.578604513888887
13273,40.70729,-112.03398,19.27502256944444
272701,40.616924,-111.837524,18.478923263888888
46881,40.675575,-112.01961,19.736960069444443
196107,41.03355,-111.97173,18.274968402777777
18237,40.67275,-111.88601,14.714537847222221
44157,40.574078,-111.9588,49.602705208333326
6348,41.101795,-111.93963,13.989890277777778
156037,40.722088,-111.81881,22.955140677966103
14017,40.752434,-111.59248,5.468494097222222
40713,40.84942,-111.87097,14.795309375
7480,40.558186,-111.8048,11.924543402777779
126929,40.709427,-111.95981,14.778830902777779
31013,40.697025,-111.8967,17.623258333333332
254023,40.74701,-111.838745,16.85080418118467
90257,40.77607,-111.73412,13.721912500000002
36145,40.899494,-111.851906,18.200184112149532
106632,40.57614,-111.98359,17.510880555555556
83919,40.689068,-112.03574,22.405256944444442
5836,40.464424,-111.77104,10.023711111111112
248901,40.763348,-111.884384,24.870004166666664
6434,40.696266,-111.87738,22.211162152777778
13235,40.67518,-111.97574,12.187793749999999
91975,40.710438,-111.84749,18.664373611111113
91661,40.779472,-111.865944,18.871164930555555
189689,40.89382,-111.853096,10.53116701388889
251031,40.751507,-111.86291,23.98084201388889
34731,40.661827,-111.8624,29.71783622828784
6622,40.74361,-111.87632,14.503559375000002
131619,40.492416,-111.868256,17.30125277777778
5758,40.48866,-111.85717,10.543053125
13227,40.703102,-112.02363,10.2209125
3238,40.664246,-111.84923,15.375702777777775
161605,40.796906,-111.88152,15.086982867132868
254217,40.796894,-111.710945,6.874702083333334
189713,40.845634,-111.8761,12.307465277777778
150790,40.681103,-111.82541,20.80198263888889
212683,40.686176,-111.80893,16.473909913043478
131891,40.682274,-111.78211,11.401891130434782
104574,40.777283,-111.83989,17.149975
171527,40.67244,-111.802414,18.97530347222222
13313,40.703976,-111.92974,17.824034751773052
174555,40.722404,-111.823616,20.313446341463415
83563,41.15395,-111.93702,8.652486111111111
189687,40.65607,-111.91026,20.89355972222222
49155,40.735126,-111.882286,16.354551041666664
226243,40.69417,-111.78929,12.579309565217391
2974,40.47354,-111.88429,14.06715
30917,40.908325,-111.8787,6.752464236111111
97631,40.874775,-111.935684,11.852011111111112
16001,40.493534,-111.86766,10.547375347222223
